date,stars
12/16/2012,59
12/23/2012,64
12/30/2012,69
1/6/2013,53
1/13/2013,54
1/20/2013,54
1/27/2013,55
2/3/2013,55
2/10/2013,57
2/17/2013,56
2/24/2013,55
3/3/2013,55
3/10/2013,55
3/17/2013,59
3/24/2013,60
3/31/2013,56
4/7/2013,55
4/14/2013,53
4/21/2013,55
4/28/2013,58
5/5/2013,56
5/12/2013,54
5/19/2013,54
5/26/2013,59
6/2/2013,57
6/9/2013,55
6/16/2013,56
6/23/2013,57
6/30/2013,59
7/7/2013,56
7/14/2013,57
7/21/2013,56
7/28/2013,61
8/4/2013,59
8/11/2013,61
8/18/2013,55
8/25/2013,55
9/1/2013,57
9/8/2013,54
9/15/2013,56
9/22/2013,56
9/29/2013,58
10/6/2013,59
10/13/2013,59
10/20/2013,56
10/27/2013,60
11/3/2013,56
11/10/2013,59
11/17/2013,60
11/24/2013,59
12/1/2013,64
12/8/2013,65
12/15/2013,62
12/22/2013,70
12/29/2013,78
1/5/2014,56
1/12/2014,56
1/19/2014,59
1/26/2014,57
2/2/2014,58
2/9/2014,58
2/16/2014,56
2/23/2014,56
3/2/2014,59
3/9/2014,56
3/16/2014,61
3/23/2014,60
3/30/2014,59
4/6/2014,56
4/13/2014,61
4/20/2014,62
4/27/2014,63
5/4/2014,60
5/11/2014,56
5/18/2014,56
5/25/2014,61
6/1/2014,58
6/8/2014,58
6/15/2014,58
6/22/2014,58
6/29/2014,59
7/6/2014,57
7/13/2014,62
7/20/2014,60
7/27/2014,63
8/3/2014,60
8/10/2014,61
8/17/2014,59
8/24/2014,60
8/31/2014,60
9/7/2014,57
9/14/2014,58
9/21/2014,59
9/28/2014,63
10/5/2014,61
10/12/2014,60
10/19/2014,60
10/26/2014,61
11/2/2014,57
11/9/2014,53
11/16/2014,54
11/23/2014,53
11/30/2014,59
12/7/2014,64
12/14/2014,64
12/21/2014,71
12/28/2014,85
1/4/2015,58
1/11/2015,58
1/18/2015,57
1/25/2015,60
2/1/2015,64
2/8/2015,61
2/15/2015,63
2/22/2015,58
3/1/2015,55
3/8/2015,54
3/15/2015,61
3/22/2015,62
3/29/2015,65
4/5/2015,60
4/12/2015,60
4/19/2015,58
4/26/2015,59
5/3/2015,57
5/10/2015,58
5/17/2015,58
5/24/2015,62
5/31/2015,61
6/7/2015,62
6/14/2015,62
6/21/2015,62
6/28/2015,64
7/5/2015,61
7/12/2015,63
7/19/2015,65
7/26/2015,64
8/2/2015,65
8/9/2015,65
8/16/2015,64
8/23/2015,62
8/30/2015,63
9/6/2015,62
9/13/2015,61
9/20/2015,66
9/27/2015,62
10/4/2015,59
10/11/2015,58
10/18/2015,59
10/25/2015,63
11/1/2015,60
11/8/2015,61
11/15/2015,58
11/22/2015,61
11/29/2015,69
12/6/2015,65
12/13/2015,65
12/20/2015,72
12/27/2015,89
1/3/2016,68
1/10/2016,66
1/17/2016,69
1/24/2016,70
1/31/2016,70
2/7/2016,76
2/14/2016,76
2/21/2016,72
2/28/2016,72
3/6/2016,71
3/13/2016,76
3/20/2016,79
3/27/2016,75
4/3/2016,72
4/10/2016,69
4/17/2016,70
4/24/2016,73
5/1/2016,77
5/8/2016,73
5/15/2016,74
5/22/2016,74
5/29/2016,80
6/5/2016,75
6/12/2016,77
6/19/2016,74
6/26/2016,76
7/3/2016,80
7/10/2016,80
7/17/2016,79
7/24/2016,78
7/31/2016,78
8/7/2016,74
8/14/2016,76
8/21/2016,75
8/28/2016,79
9/4/2016,75
9/11/2016,75
9/18/2016,80
9/25/2016,80
10/2/2016,77
10/9/2016,77
10/16/2016,74
10/23/2016,76
10/30/2016,82
11/6/2016,75
11/13/2016,76
11/20/2016,82
11/27/2016,88
12/4/2016,85
12/11/2016,85
12/18/2016,91
12/25/2016,100
1/1/2017,90
1/8/2017,76
1/15/2017,76
1/22/2017,77
1/29/2017,77
2/5/2017,81
2/12/2017,83
2/19/2017,80
2/26/2017,82
3/5/2017,77
3/12/2017,86
3/19/2017,79
3/26/2017,79
4/2/2017,78
4/9/2017,81
4/16/2017,78
4/23/2017,79
4/30/2017,82
5/7/2017,76
5/14/2017,77
5/21/2017,81
5/28/2017,84
6/4/2017,81
6/11/2017,79
6/18/2017,80
6/25/2017,88
7/2/2017,86
7/9/2017,87
7/16/2017,83
7/23/2017,83
7/30/2017,82
8/6/2017,82
8/13/2017,82
8/20/2017,80
8/27/2017,87
9/3/2017,82
9/10/2017,79
9/17/2017,85
9/24/2017,84
10/1/2017,83
10/8/2017,79
10/15/2017,80
10/22/2017,82
10/29/2017,86
11/5/2017,78
11/12/2017,77
11/19/2017,79
11/26/2017,86
12/3/2017,84
