date,stars
12/16/2012,31
12/23/2012,23
12/30/2012,26
1/6/2013,35
1/13/2013,37
1/20/2013,38
1/27/2013,38
2/3/2013,39
2/10/2013,40
2/17/2013,41
2/24/2013,42
3/3/2013,40
3/10/2013,40
3/17/2013,38
3/24/2013,37
3/31/2013,38
4/7/2013,43
4/14/2013,42
4/21/2013,42
4/28/2013,38
5/5/2013,39
5/12/2013,40
5/19/2013,38
5/26/2013,37
6/2/2013,37
6/9/2013,42
6/16/2013,38
6/23/2013,37
6/30/2013,37
7/7/2013,38
7/14/2013,39
7/21/2013,36
7/28/2013,38
8/4/2013,36
8/11/2013,34
8/18/2013,36
8/25/2013,38
9/1/2013,38
9/8/2013,42
9/15/2013,41
9/22/2013,45
9/29/2013,42
10/6/2013,44
10/13/2013,43
10/20/2013,41
10/27/2013,41
11/3/2013,43
11/10/2013,47
11/17/2013,43
11/24/2013,39
12/1/2013,39
12/8/2013,38
12/15/2013,32
12/22/2013,23
12/29/2013,23
1/5/2014,30
1/12/2014,37
1/19/2014,37
1/26/2014,36
2/2/2014,38
2/9/2014,38
2/16/2014,40
2/23/2014,40
3/2/2014,38
3/9/2014,39
3/16/2014,40
3/23/2014,40
3/30/2014,41
4/6/2014,41
4/13/2014,37
4/20/2014,38
4/27/2014,38
5/4/2014,38
5/11/2014,37
5/18/2014,63
5/25/2014,43
6/1/2014,37
6/8/2014,35
6/15/2014,37
6/22/2014,35
6/29/2014,34
7/6/2014,37
7/13/2014,37
7/20/2014,37
7/27/2014,38
8/3/2014,42
8/10/2014,37
8/17/2014,38
8/24/2014,38
8/31/2014,38
9/7/2014,46
9/14/2014,42
9/21/2014,41
9/28/2014,45
10/5/2014,44
10/12/2014,44
10/19/2014,44
10/26/2014,43
11/2/2014,42
11/9/2014,44
11/16/2014,43
11/23/2014,39
11/30/2014,39
12/7/2014,38
12/14/2014,33
12/21/2014,24
12/28/2014,22
1/4/2015,35
1/11/2015,35
1/18/2015,37
1/25/2015,47
2/1/2015,37
2/8/2015,39
2/15/2015,36
2/22/2015,38
3/1/2015,40
3/8/2015,41
3/15/2015,39
3/22/2015,39
3/29/2015,37
4/5/2015,39
4/12/2015,40
4/19/2015,42
4/26/2015,39
5/3/2015,39
5/10/2015,38
5/17/2015,39
5/24/2015,37
5/31/2015,38
6/7/2015,41
6/14/2015,37
6/21/2015,73
6/28/2015,42
7/5/2015,40
7/12/2015,41
7/19/2015,42
7/26/2015,38
8/2/2015,37
8/9/2015,38
8/16/2015,36
8/23/2015,39
8/30/2015,38
9/6/2015,40
9/13/2015,39
9/20/2015,41
9/27/2015,40
10/4/2015,44
10/11/2015,41
10/18/2015,42
10/25/2015,42
11/1/2015,100
11/8/2015,53
11/15/2015,56
11/22/2015,69
11/29/2015,71
12/6/2015,75
12/13/2015,50
12/20/2015,47
12/27/2015,36
1/3/2016,41
1/10/2016,44
1/17/2016,45
1/24/2016,45
1/31/2016,46
2/7/2016,53
2/14/2016,46
2/21/2016,46
2/28/2016,46
3/6/2016,44
3/13/2016,44
3/20/2016,40
3/27/2016,40
4/3/2016,42
4/10/2016,42
4/17/2016,42
4/24/2016,41
5/1/2016,40
5/8/2016,41
5/15/2016,39
5/22/2016,42
5/29/2016,47
6/5/2016,40
6/12/2016,38
6/19/2016,38
6/26/2016,41
7/3/2016,41
7/10/2016,38
7/17/2016,44
7/24/2016,39
7/31/2016,38
8/7/2016,37
8/14/2016,37
8/21/2016,37
8/28/2016,39
9/4/2016,41
9/11/2016,42
9/18/2016,43
9/25/2016,42
10/2/2016,40
10/9/2016,42
10/16/2016,42
10/23/2016,42
10/30/2016,41
11/6/2016,40
11/13/2016,42
11/20/2016,40
11/27/2016,41
12/4/2016,38
12/11/2016,35
12/18/2016,30
12/25/2016,30
1/1/2017,29
1/8/2017,34
1/15/2017,35
1/22/2017,36
1/29/2017,38
2/5/2017,40
2/12/2017,38
2/19/2017,41
2/26/2017,42
3/5/2017,41
3/12/2017,40
3/19/2017,42
3/26/2017,42
4/2/2017,44
4/9/2017,38
4/16/2017,41
4/23/2017,43
4/30/2017,38
5/7/2017,41
5/14/2017,40
5/21/2017,37
5/28/2017,37
6/4/2017,39
6/11/2017,38
6/18/2017,38
6/25/2017,37
7/2/2017,39
7/9/2017,37
7/16/2017,40
7/23/2017,38
7/30/2017,38
8/6/2017,36
8/13/2017,34
8/20/2017,39
8/27/2017,38
9/3/2017,39
9/10/2017,42
9/17/2017,43
9/24/2017,43
10/1/2017,45
10/8/2017,42
10/15/2017,43
10/22/2017,44
10/29/2017,41
11/5/2017,43
11/12/2017,43
11/19/2017,38
11/26/2017,44
12/3/2017,43
