date,stars
12/16/2012,63
12/23/2012,71
12/30/2012,72
1/6/2013,70
1/13/2013,62
1/20/2013,57
1/27/2013,60
2/3/2013,63
2/10/2013,63
2/17/2013,63
2/24/2013,60
3/3/2013,62
3/10/2013,60
3/17/2013,60
3/24/2013,65
3/31/2013,63
4/7/2013,60
4/14/2013,68
4/21/2013,62
4/28/2013,68
5/5/2013,65
5/12/2013,61
5/19/2013,60
5/26/2013,63
6/2/2013,58
6/9/2013,60
6/16/2013,62
6/23/2013,63
6/30/2013,64
7/7/2013,61
7/14/2013,63
7/21/2013,63
7/28/2013,65
8/4/2013,64
8/11/2013,64
8/18/2013,61
8/25/2013,59
9/1/2013,61
9/8/2013,61
9/15/2013,59
9/22/2013,60
9/29/2013,64
10/6/2013,59
10/13/2013,61
10/20/2013,60
10/27/2013,66
11/3/2013,61
11/10/2013,63
11/17/2013,59
11/24/2013,60
12/1/2013,63
12/8/2013,62
12/15/2013,65
12/22/2013,74
12/29/2013,76
1/5/2014,67
1/12/2014,65
1/19/2014,63
1/26/2014,66
2/2/2014,69
2/9/2014,66
2/16/2014,64
2/23/2014,72
3/2/2014,69
3/9/2014,65
3/16/2014,66
3/23/2014,66
3/30/2014,66
4/6/2014,67
4/13/2014,72
4/20/2014,70
4/27/2014,74
5/4/2014,72
5/11/2014,67
5/18/2014,63
5/25/2014,64
6/1/2014,65
6/8/2014,66
6/15/2014,73
6/22/2014,74
6/29/2014,71
7/6/2014,70
7/13/2014,68
7/20/2014,71
7/27/2014,72
8/3/2014,71
8/10/2014,70
8/17/2014,68
8/24/2014,68
8/31/2014,68
9/7/2014,69
9/14/2014,66
9/21/2014,63
9/28/2014,69
10/5/2014,66
10/12/2014,63
10/19/2014,67
10/26/2014,67
11/2/2014,66
11/9/2014,65
11/16/2014,65
11/23/2014,68
11/30/2014,66
12/7/2014,67
12/14/2014,69
12/21/2014,81
12/28/2014,87
1/4/2015,70
1/11/2015,68
1/18/2015,67
1/25/2015,74
2/1/2015,69
2/8/2015,69
2/15/2015,70
2/22/2015,71
3/1/2015,70
3/8/2015,67
3/15/2015,72
3/22/2015,72
3/29/2015,78
4/5/2015,73
4/12/2015,68
4/19/2015,69
4/26/2015,72
5/3/2015,73
5/10/2015,72
5/17/2015,69
5/24/2015,74
5/31/2015,75
6/7/2015,73
6/14/2015,87
6/21/2015,80
6/28/2015,77
7/5/2015,75
7/12/2015,77
7/19/2015,78
7/26/2015,80
8/2/2015,77
8/9/2015,77
8/16/2015,81
8/23/2015,79
8/30/2015,76
9/6/2015,75
9/13/2015,73
9/20/2015,73
9/27/2015,74
10/4/2015,75
10/11/2015,72
10/18/2015,73
10/25/2015,74
11/1/2015,76
11/8/2015,72
11/15/2015,73
11/22/2015,73
11/29/2015,72
12/6/2015,75
12/13/2015,76
12/20/2015,88
12/27/2015,94
1/3/2016,72
1/10/2016,69
1/17/2016,73
1/24/2016,75
1/31/2016,73
2/7/2016,81
2/14/2016,72
2/21/2016,75
2/28/2016,73
3/6/2016,77
3/13/2016,76
3/20/2016,77
3/27/2016,75
4/3/2016,76
4/10/2016,74
4/17/2016,74
4/24/2016,77
5/1/2016,78
5/8/2016,75
5/15/2016,74
5/22/2016,73
5/29/2016,77
6/5/2016,76
6/12/2016,75
6/19/2016,81
6/26/2016,85
7/3/2016,92
7/10/2016,84
7/17/2016,83
7/24/2016,83
7/31/2016,83
8/7/2016,79
8/14/2016,80
8/21/2016,82
8/28/2016,82
9/4/2016,80
9/11/2016,80
9/18/2016,76
9/25/2016,78
10/2/2016,75
10/9/2016,83
10/16/2016,78
10/23/2016,80
10/30/2016,82
11/6/2016,78
11/13/2016,81
11/20/2016,77
11/27/2016,80
12/4/2016,82
12/11/2016,79
12/18/2016,91
12/25/2016,95
1/1/2017,90
1/8/2017,81
1/15/2017,79
1/22/2017,81
1/29/2017,85
2/5/2017,91
2/12/2017,84
2/19/2017,84
2/26/2017,89
3/5/2017,85
3/12/2017,81
3/19/2017,81
3/26/2017,83
4/2/2017,82
4/9/2017,89
4/16/2017,86
4/23/2017,89
4/30/2017,92
5/7/2017,85
5/14/2017,85
5/21/2017,86
5/28/2017,88
6/4/2017,86
6/11/2017,91
6/18/2017,92
6/25/2017,100
7/2/2017,100
7/9/2017,97
7/16/2017,94
7/23/2017,96
7/30/2017,96
8/6/2017,96
8/13/2017,95
8/20/2017,91
8/27/2017,95
9/3/2017,90
9/10/2017,89
9/17/2017,88
9/24/2017,90
10/1/2017,97
10/8/2017,97
10/15/2017,95
10/22/2017,92
10/29/2017,98
11/5/2017,92
11/12/2017,88
11/19/2017,93
11/26/2017,89
12/3/2017,87
