date,stars
12/16/2012,90
12/23/2012,100
12/30/2012,77
1/6/2013,67
1/13/2013,48
1/20/2013,53
1/27/2013,64
2/3/2013,42
2/10/2013,32
2/17/2013,27
2/24/2013,24
3/3/2013,25
3/10/2013,22
3/17/2013,19
3/24/2013,19
3/31/2013,17
4/7/2013,15
4/14/2013,12
4/21/2013,11
4/28/2013,10
5/5/2013,9
5/12/2013,7
5/19/2013,7
5/26/2013,6
6/2/2013,5
6/9/2013,5
6/16/2013,5
6/23/2013,5
6/30/2013,5
7/7/2013,4
7/14/2013,4
7/21/2013,4
7/28/2013,4
8/4/2013,4
8/11/2013,4
8/18/2013,4
8/25/2013,4
9/1/2013,5
9/8/2013,5
9/15/2013,4
9/22/2013,4
9/29/2013,4
10/6/2013,5
10/13/2013,5
10/20/2013,6
10/27/2013,6
11/3/2013,7
11/10/2013,9
11/17/2013,10
11/24/2013,14
12/1/2013,18
12/8/2013,23
12/15/2013,25
12/22/2013,26
12/29/2013,26
1/5/2014,22
1/12/2014,35
1/19/2014,61
1/26/2014,61
2/2/2014,36
2/9/2014,24
2/16/2014,21
2/23/2014,19
3/2/2014,16
3/9/2014,16
3/16/2014,14
3/23/2014,13
3/30/2014,12
4/6/2014,14
4/13/2014,11
4/20/2014,9
4/27/2014,8
5/4/2014,8
5/11/2014,7
5/18/2014,6
5/25/2014,5
6/1/2014,6
6/8/2014,5
6/15/2014,4
6/22/2014,4
6/29/2014,4
7/6/2014,4
7/13/2014,5
7/20/2014,4
7/27/2014,4
8/3/2014,5
8/10/2014,4
8/17/2014,4
8/24/2014,4
8/31/2014,4
9/7/2014,4
9/14/2014,4
9/21/2014,4
9/28/2014,5
10/5/2014,6
10/12/2014,6
10/19/2014,6
10/26/2014,6
11/2/2014,8
11/9/2014,9
11/16/2014,16
11/23/2014,12
11/30/2014,12
12/7/2014,16
12/14/2014,19
12/21/2014,19
12/28/2014,17
1/4/2015,16
1/11/2015,16
1/18/2015,18
1/25/2015,17
2/1/2015,17
2/8/2015,17
2/15/2015,17
2/22/2015,23
3/1/2015,17
3/8/2015,14
3/15/2015,13
3/22/2015,11
3/29/2015,10
4/5/2015,10
4/12/2015,10
4/19/2015,8
4/26/2015,7
5/3/2015,7
5/10/2015,7
5/17/2015,6
5/24/2015,5
5/31/2015,5
6/7/2015,6
6/14/2015,6
6/21/2015,5
6/28/2015,4
7/5/2015,4
7/12/2015,4
7/19/2015,4
7/26/2015,4
8/2/2015,4
8/9/2015,4
8/16/2015,3
8/23/2015,5
8/30/2015,6
9/6/2015,5
9/13/2015,4
9/20/2015,5
9/27/2015,5
10/4/2015,6
10/11/2015,8
10/18/2015,9
10/25/2015,9
11/1/2015,9
11/8/2015,10
11/15/2015,10
11/22/2015,11
11/29/2015,14
12/6/2015,33
12/13/2015,22
12/20/2015,22
12/27/2015,21
1/3/2016,19
1/10/2016,16
1/17/2016,16
1/24/2016,16
1/31/2016,16
2/7/2016,17
2/14/2016,18
2/21/2016,18
2/28/2016,18
3/6/2016,19
3/13/2016,14
3/20/2016,12
3/27/2016,10
4/3/2016,10
4/10/2016,9
4/17/2016,9
4/24/2016,10
5/1/2016,8
5/8/2016,10
5/15/2016,8
5/22/2016,7
5/29/2016,6
6/5/2016,6
6/12/2016,5
6/19/2016,7
6/26/2016,4
7/3/2016,4
7/10/2016,4
7/17/2016,8
7/24/2016,4
7/31/2016,4
8/7/2016,4
8/14/2016,3
8/21/2016,4
8/28/2016,5
9/4/2016,4
9/11/2016,4
9/18/2016,5
9/25/2016,5
10/2/2016,5
10/9/2016,6
10/16/2016,6
10/23/2016,8
10/30/2016,11
11/6/2016,13
11/13/2016,17
11/20/2016,21
11/27/2016,25
12/4/2016,32
12/11/2016,47
12/18/2016,60
12/25/2016,52
1/1/2017,37
1/8/2017,33
1/15/2017,25
1/22/2017,34
1/29/2017,29
2/5/2017,23
2/12/2017,22
2/19/2017,20
2/26/2017,20
3/5/2017,15
3/12/2017,14
3/19/2017,13
3/26/2017,10
4/2/2017,9
4/9/2017,8
4/16/2017,7
4/23/2017,7
4/30/2017,8
5/7/2017,9
5/14/2017,12
5/21/2017,9
5/28/2017,7
6/4/2017,6
6/11/2017,6
6/18/2017,5
6/25/2017,5
7/2/2017,5
7/9/2017,4
7/16/2017,8
7/23/2017,6
7/30/2017,5
8/6/2017,10
8/13/2017,5
8/20/2017,5
8/27/2017,5
9/3/2017,5
9/10/2017,5
9/17/2017,5
9/24/2017,5
10/1/2017,5
10/8/2017,6
10/15/2017,7
10/22/2017,7
10/29/2017,7
11/5/2017,8
11/12/2017,9
11/19/2017,10
11/26/2017,12
12/3/2017,14
