date,stars
12/16/2012,75
12/23/2012,86
12/30/2012,84
1/6/2013,82
1/13/2013,80
1/20/2013,80
1/27/2013,84
2/3/2013,91
2/10/2013,80
2/17/2013,76
2/24/2013,74
3/3/2013,74
3/10/2013,74
3/17/2013,72
3/24/2013,75
3/31/2013,71
4/7/2013,72
4/14/2013,69
4/21/2013,71
4/28/2013,72
5/5/2013,70
5/12/2013,68
5/19/2013,67
5/26/2013,70
6/2/2013,67
6/9/2013,68
6/16/2013,68
6/23/2013,69
6/30/2013,71
7/7/2013,71
7/14/2013,71
7/21/2013,73
7/28/2013,76
8/4/2013,75
8/11/2013,77
8/18/2013,75
8/25/2013,70
9/1/2013,71
9/8/2013,70
9/15/2013,68
9/22/2013,69
9/29/2013,77
10/6/2013,75
10/13/2013,73
10/20/2013,70
10/27/2013,71
11/3/2013,74
11/10/2013,75
11/17/2013,84
11/24/2013,81
12/1/2013,74
12/8/2013,74
12/15/2013,77
12/22/2013,88
12/29/2013,86
1/5/2014,79
1/12/2014,78
1/19/2014,79
1/26/2014,89
2/2/2014,100
2/9/2014,78
2/16/2014,77
2/23/2014,75
3/2/2014,74
3/9/2014,71
3/16/2014,73
3/23/2014,74
3/30/2014,72
4/6/2014,72
4/13/2014,74
4/20/2014,73
4/27/2014,72
5/4/2014,70
5/11/2014,69
5/18/2014,68
5/25/2014,67
6/1/2014,66
6/8/2014,65
6/15/2014,67
6/22/2014,68
6/29/2014,68
7/6/2014,72
7/13/2014,74
7/20/2014,73
7/27/2014,77
8/3/2014,74
8/10/2014,73
8/17/2014,74
8/24/2014,71
8/31/2014,70
9/7/2014,70
9/14/2014,69
9/21/2014,67
9/28/2014,70
10/5/2014,70
10/12/2014,70
10/19/2014,73
10/26/2014,69
11/2/2014,71
11/9/2014,71
11/16/2014,73
11/23/2014,75
11/30/2014,75
12/7/2014,76
12/14/2014,76
12/21/2014,84
12/28/2014,84
1/4/2015,81
1/11/2015,79
1/18/2015,78
1/25/2015,84
2/1/2015,87
2/8/2015,76
2/15/2015,79
2/22/2015,74
3/1/2015,75
3/8/2015,73
3/15/2015,72
3/22/2015,72
3/29/2015,74
4/5/2015,72
4/12/2015,71
4/19/2015,69
4/26/2015,72
5/3/2015,70
5/10/2015,69
5/17/2015,68
5/24/2015,71
5/31/2015,72
6/7/2015,71
6/14/2015,71
6/21/2015,72
6/28/2015,71
7/5/2015,72
7/12/2015,75
7/19/2015,77
7/26/2015,78
8/2/2015,77
8/9/2015,77
8/16/2015,76
8/23/2015,75
8/30/2015,74
9/6/2015,75
9/13/2015,73
9/20/2015,72
9/27/2015,71
10/4/2015,74
10/11/2015,73
10/18/2015,74
10/25/2015,74
11/1/2015,76
11/8/2015,77
11/15/2015,81
11/22/2015,81
11/29/2015,82
12/6/2015,87
12/13/2015,87
12/20/2015,95
12/27/2015,95
1/3/2016,86
1/10/2016,85
1/17/2016,86
1/24/2016,85
1/31/2016,88
2/7/2016,97
2/14/2016,86
2/21/2016,85
2/28/2016,82
3/6/2016,81
3/13/2016,79
3/20/2016,86
3/27/2016,80
4/3/2016,82
4/10/2016,78
4/17/2016,78
4/24/2016,80
5/1/2016,79
5/8/2016,77
5/15/2016,81
5/22/2016,80
5/29/2016,78
6/5/2016,77
6/12/2016,75
6/19/2016,77
6/26/2016,79
7/3/2016,82
7/10/2016,78
7/17/2016,82
7/24/2016,82
7/31/2016,80
8/7/2016,74
8/14/2016,76
8/21/2016,78
8/28/2016,80
9/4/2016,81
9/11/2016,82
9/18/2016,79
9/25/2016,76
10/2/2016,76
10/9/2016,77
10/16/2016,79
10/23/2016,78
10/30/2016,76
11/6/2016,79
11/13/2016,84
11/20/2016,85
11/27/2016,82
12/4/2016,83
12/11/2016,84
12/18/2016,90
12/25/2016,91
1/1/2017,88
1/8/2017,85
1/15/2017,85
1/22/2017,87
1/29/2017,86
2/5/2017,94
2/12/2017,84
2/19/2017,84
2/26/2017,81
3/5/2017,78
3/12/2017,78
3/19/2017,81
3/26/2017,77
4/2/2017,77
4/9/2017,79
4/16/2017,78
4/23/2017,77
4/30/2017,79
5/7/2017,76
5/14/2017,75
5/21/2017,74
5/28/2017,77
6/4/2017,76
6/11/2017,78
6/18/2017,77
6/25/2017,80
7/2/2017,81
7/9/2017,82
7/16/2017,85
7/23/2017,83
7/30/2017,83
8/6/2017,83
8/13/2017,82
8/20/2017,79
8/27/2017,81
9/3/2017,78
9/10/2017,78
9/17/2017,78
9/24/2017,77
10/1/2017,76
10/8/2017,77
10/15/2017,79
10/22/2017,77
10/29/2017,77
11/5/2017,80
11/12/2017,82
11/19/2017,84
11/26/2017,84
12/3/2017,82
