id,date,stars,text
gf_jMHZWNNLpsC_9y2Fihw,2013-10-18,1,"I'd get food here every now and then when I felt like having tacos or fried chicken because it's somewhat near home. I assume they'd screw up every now and then but just had the worst experience. 

Arriving at the drive thru, the employee asks what I'd like, she stops me mid-way and says ""can you hold on?"" ... I politely say okay and she manages to do this another 4 times. Why even bother ask me what I'd like, if you're just going to continue stopping me? I knew I should've left, but all bad decisions are made when hungry... So, after she finally got my order down, it took more than 10 minutes (four songs on the radio) for her to serve two cars ahead of me. This wasn't even at lunch time!

I finally get to the window, she gives me my drink and asks how I'd like to pay. I said pay pass. - I take my card out and tap. She said ""hold the machine!"" In a very rude tone and i responded by ""it's a simple tap..."" - according to her ""it's not her job to hold the machine, it's 'mine' "". 


I paid and moved by car up to check if everything was right . I'm surprised after that, my order wasn't totally screwed up. Rarely do I give 1 star but this was terrible customer service.

1/5"
gf_jMHZWNNLpsC_9y2Fihw,2016-01-03,1,Every time I go there I wish not to meet the manager but unfortunately he is working over there most of the time. He is rude and I give 0 score to his customer service.
gf_jMHZWNNLpsC_9y2Fihw,2016-02-08,3,"This place is a typical KFC-Taco Bell combination. I crave Taco Bell now and again. I come here to get a quick bite. I like that I can place my order through the drive-thru. The other day, I decided to walk in. 

I'm not a huge KFC fan. KFC did have a lot of decent specials, but I didn't feel like having everything fried to death. 

I ordered my usual when I do visit Taco bell, which consists of two soft taco supremes and an upgrade to nachos supreme. Since I am borderline lactose-intolerant, I always ask that the sour cream be omitted. This place has always been good about holding it. 

The woman at the counter was friendly. I ate there, which was a first. The interior is decent. It's clean and comfortable. 

The woman who had placed my order came over to ask how my dinner was. It was good for Taco Bell. She helped put away my tray, which was a nice touch. 

I'd rate this place 3.5 stars. If you feel like cheap fast food with excellent customer service, this place would be a decent choice."
gf_jMHZWNNLpsC_9y2Fihw,2017-01-24,1,"Ordered threee price chicken which was supossed to be two thighs one leg and got two legs

Went to the manager to complain and he said I was lying as if I'm Houdini and just made it disappear. 

Won't be back again, the manager is terribly st"
gf_jMHZWNNLpsC_9y2Fihw,2015-07-01,4,It's kfc nothing special it's just a tad bit better then Macdonald and it's the closest  chain to my house. Service is not bad ask for a side of mayonnaise which they did not charge 50 cents for like other places.
gf_jMHZWNNLpsC_9y2Fihw,2017-02-21,2,"KFC is a great fast food joint. The food is exactly what you would expect: greasy, heavy, not very fresh. Service is mediocre at best, probably the slowest drive thru I've been in and even when you go inside, there's a 10 minute wait and staff move very slowly."
gf_jMHZWNNLpsC_9y2Fihw,2014-11-11,3,Your usual KFC and taco bell. For when you are hungry and in a hurry. I usually come to the drive thru but I don't mind eating in every once in a while. Fast service. Clean restaurant. Spacey booths. Free WiFi.
gf_jMHZWNNLpsC_9y2Fihw,2017-01-23,1,"This place has gone downhill. Now I understand why I had seen a gentleman shouting at the employees for their incompetence the last time I came.

I ordered the usual small popcorn chicken and they claimed you can only buy a size large at this location. Weird.. I went to pay at the window and all of a sudden, from the many times I've came here and paid by Amex, they tell me they don't accept Amex. The worst part is, the employee was new and barely spoke English.

After that when I got my order, she only gave ONE sauce for a size LARGE. I had to come into the store and be one of those people who ask to speak to their management because the lady serving me was clearly incompetent and lacked common sense. That's when you know it's time to change up my designated KFC location."
-gTX7XKGOntF2FQ1EDxHpA,2016-07-21,1,"Went thru the drive thru and could hardly understand the employee, Said it would take 10 minutes for chicken wings, ordered 3 pc big box with fries and it came with mashed potatoes. 2 pc was to have cole slaw and came with mashed potatoes and the biscuits were hard as rocks. Not to mention it came to $20.00 WTF. no friendliness whats so ever."
-gTX7XKGOntF2FQ1EDxHpA,2017-07-25,1,"Everytime I come here something is wrong. A few months ago they were out of original white meet,  then it was when they stopped serving grilled and they acted like i was crazy for asking for it, tonight on the Monday chicken fried special they r out of gravy.... think this might be my last trip here"
-gTX7XKGOntF2FQ1EDxHpA,2015-10-18,1,"Bad decision!  Extra crispy was not, rolls/biscuits were hard not soft, potatoes normal, gravy cold, tea was day old tasting and Coleslaw was great. Understaffed, no leader and we most likely will not be back. Should have gone to Popeyes."
-gTX7XKGOntF2FQ1EDxHpA,2017-03-15,1,"Walked in, staff chateering since there was no customers but me. 
Tables and chairs, half of them with food crumbs. 
Food, old. Mash and gravy were in a half melted top from being under the warmer tooooo long. 
Buscuit, broke it in half, all hard. 
Chiken, extra dry. 
Wow 
Asked them to serve me fresh meal.  
No appologies no service.  Bad management. 
Ate in. Still no clean tables and seats."
-llrUA_TlQTWH_CMM3NTNQ,2013-01-25,1,"Ordered big crunch and poutine, get home it was a original and heavily watered gravy. Disgusting, rip off!!! Stay away!"
-llrUA_TlQTWH_CMM3NTNQ,2012-01-20,2,"This was the first time I had been to KFC since perhaps my high school years and now I know why:

Food: C-   I had the 'Big Crunch' sandwich. First of all it wasn't really crunchy in a good way, it was crunchy in a hurt-your-jaw kind of way. Secondly, it really wasnt that big either considering that half of it was weird ""crunchy"" batter/chicken skin. Lastly, the chicken tasted really weird, not sure what it was but it was bad enough that I couldn't eat any more than half the sandwich. 

Service: Quick (lived up to the fast food name, but there was no one else there)

Food presentation: B-  

Atmosphere: D  This place doesn't even have any seats!

Prices: B+  Pretty cheap but who cares if you can't even finish it.

Recommended?:  Is that a serious question?"
-llrUA_TlQTWH_CMM3NTNQ,2012-11-20,1,"Can you believe that they recently JACKED their delivery charge to FIVE BUCKS ! - so when you add tax on delivery, and a tip, you are adding ten bucks to an often AWFUL MEAL."
-llrUA_TlQTWH_CMM3NTNQ,2009-05-14,3,"There's no disguising that KFC is gross in its taste and inhumane practices. I don't understand the appeal of crunchy chicken skin that stretches off the meat like third degree burns, but my husband seems to like it so I go. As a restaurant chain they don't even try to make the experience appealing. During Christmas time they actually duct-taped decorations up on the wall. Duct tape! The one and only reason I keep returning to this KFC is because of the employee Aphrodite. There is something about this woman that I love. First off, her name is Aphrodite! How can you hate on someone with that name? Secondly, I feel like I could make a movie about her life. I'd make her win the lottery just so she could burn KFC to the ground and piss on its ashes. Then she'd whisk off to Greece and have a life similar to that of 'Under the Tuscan Sun', except less boring and with more Danielle Steele action."
