date,stars
12/16/2012,32
12/23/2012,32
12/30/2012,41
1/6/2013,38
1/13/2013,37
1/20/2013,36
1/27/2013,36
2/3/2013,35
2/10/2013,41
2/17/2013,37
2/24/2013,37
3/3/2013,38
3/10/2013,37
3/17/2013,38
3/24/2013,38
3/31/2013,38
4/7/2013,37
4/14/2013,39
4/21/2013,39
4/28/2013,42
5/5/2013,49
5/12/2013,37
5/19/2013,39
5/26/2013,37
6/2/2013,40
6/9/2013,40
6/16/2013,42
6/23/2013,42
6/30/2013,40
7/7/2013,44
7/14/2013,57
7/21/2013,48
7/28/2013,49
8/4/2013,42
8/11/2013,42
8/18/2013,39
8/25/2013,38
9/1/2013,39
9/8/2013,42
9/15/2013,47
9/22/2013,40
9/29/2013,41
10/6/2013,40
10/13/2013,41
10/20/2013,40
10/27/2013,56
11/3/2013,41
11/10/2013,41
11/17/2013,40
11/24/2013,34
12/1/2013,39
12/8/2013,38
12/15/2013,41
12/22/2013,42
12/29/2013,48
1/5/2014,42
1/12/2014,43
1/19/2014,45
1/26/2014,51
2/2/2014,44
2/9/2014,47
2/16/2014,50
2/23/2014,51
3/2/2014,61
3/9/2014,54
3/16/2014,49
3/23/2014,50
3/30/2014,53
4/6/2014,53
4/13/2014,56
4/20/2014,56
4/27/2014,56
5/4/2014,64
5/11/2014,52
5/18/2014,56
5/25/2014,53
6/1/2014,55
6/8/2014,55
6/15/2014,52
6/22/2014,57
6/29/2014,53
7/6/2014,55
7/13/2014,56
7/20/2014,59
7/27/2014,56
8/3/2014,54
8/10/2014,54
8/17/2014,54
8/24/2014,50
8/31/2014,51
9/7/2014,52
9/14/2014,49
9/21/2014,49
9/28/2014,48
10/5/2014,48
10/12/2014,50
10/19/2014,50
10/26/2014,66
11/2/2014,50
11/9/2014,50
11/16/2014,53
11/23/2014,45
11/30/2014,47
12/7/2014,51
12/14/2014,51
12/21/2014,51
12/28/2014,65
1/4/2015,55
1/11/2015,64
1/18/2015,56
1/25/2015,74
2/1/2015,53
2/8/2015,57
2/15/2015,55
2/22/2015,51
3/1/2015,51
3/8/2015,51
3/15/2015,49
3/22/2015,50
3/29/2015,53
4/5/2015,56
4/12/2015,59
4/19/2015,75
4/26/2015,72
5/3/2015,74
5/10/2015,58
5/17/2015,55
5/24/2015,56
5/31/2015,58
6/7/2015,59
6/14/2015,58
6/21/2015,58
6/28/2015,58
7/5/2015,59
7/12/2015,63
7/19/2015,84
7/26/2015,75
8/2/2015,68
8/9/2015,69
8/16/2015,73
8/23/2015,65
8/30/2015,60
9/6/2015,61
9/13/2015,58
9/20/2015,58
9/27/2015,54
10/4/2015,52
10/11/2015,53
10/18/2015,54
10/25/2015,64
11/1/2015,100
11/8/2015,63
11/15/2015,55
11/22/2015,49
11/29/2015,55
12/6/2015,75
12/13/2015,53
12/20/2015,57
12/27/2015,53
1/3/2016,54
1/10/2016,66
1/17/2016,52
1/24/2016,43
1/31/2016,49
2/7/2016,100
2/14/2016,52
2/21/2016,52
2/28/2016,43
3/6/2016,50
3/13/2016,50
3/20/2016,51
3/27/2016,50
4/3/2016,46
4/10/2016,45
4/17/2016,44
4/24/2016,49
5/1/2016,57
5/8/2016,42
5/15/2016,47
5/22/2016,46
5/29/2016,45
6/5/2016,49
6/12/2016,43
6/19/2016,43
6/26/2016,53
7/3/2016,58
7/10/2016,53
7/17/2016,54
7/24/2016,54
7/31/2016,49
8/7/2016,44
8/14/2016,43
8/21/2016,46
8/28/2016,50
9/4/2016,50
9/11/2016,48
9/18/2016,47
9/25/2016,48
10/2/2016,45
10/9/2016,57
10/16/2016,52
10/23/2016,55
10/30/2016,64
11/6/2016,47
11/13/2016,44
11/20/2016,40
11/27/2016,44
12/4/2016,41
12/11/2016,39
12/18/2016,42
12/25/2016,44
1/1/2017,49
1/8/2017,45
1/15/2017,43
1/22/2017,45
1/29/2017,47
2/5/2017,43
2/12/2017,44
2/19/2017,46
2/26/2017,46
3/5/2017,45
3/12/2017,44
3/19/2017,47
3/26/2017,48
4/2/2017,53
4/9/2017,48
4/16/2017,51
4/23/2017,55
4/30/2017,65
5/7/2017,46
5/14/2017,45
5/21/2017,47
5/28/2017,51
6/4/2017,47
6/11/2017,55
6/18/2017,50
6/25/2017,48
7/2/2017,48
7/9/2017,54
7/16/2017,70
7/23/2017,63
7/30/2017,55
8/6/2017,50
8/13/2017,48
8/20/2017,49
8/27/2017,51
9/3/2017,47
9/10/2017,54
9/17/2017,49
9/24/2017,48
10/1/2017,47
10/8/2017,44
10/15/2017,46
10/22/2017,48
10/29/2017,60
11/5/2017,45
11/12/2017,42
11/19/2017,35
11/26/2017,42
12/3/2017,41
