date,stars
12/16/2012,20
12/23/2012,18
12/30/2012,25
1/6/2013,24
1/13/2013,23
1/20/2013,25
1/27/2013,24
2/3/2013,26
2/10/2013,27
2/17/2013,25
2/24/2013,26
3/3/2013,35
3/10/2013,41
3/17/2013,39
3/24/2013,39
3/31/2013,37
4/7/2013,41
4/14/2013,38
4/21/2013,38
4/28/2013,44
5/5/2013,44
5/12/2013,42
5/19/2013,41
5/26/2013,47
6/2/2013,48
6/9/2013,49
6/16/2013,47
6/23/2013,47
6/30/2013,52
7/7/2013,49
7/14/2013,49
7/21/2013,45
7/28/2013,42
8/4/2013,57
8/11/2013,41
8/18/2013,38
8/25/2013,34
9/1/2013,42
9/8/2013,39
9/15/2013,39
9/22/2013,34
9/29/2013,33
10/6/2013,31
10/13/2013,30
10/20/2013,26
10/27/2013,26
11/3/2013,26
11/10/2013,25
11/17/2013,24
11/24/2013,20
12/1/2013,21
12/8/2013,19
12/15/2013,20
12/22/2013,22
12/29/2013,27
1/5/2014,23
1/12/2014,26
1/19/2014,28
1/26/2014,25
2/2/2014,25
2/9/2014,27
2/16/2014,28
2/23/2014,29
3/2/2014,32
3/9/2014,35
3/16/2014,37
3/23/2014,36
3/30/2014,42
4/6/2014,45
4/13/2014,48
4/20/2014,44
4/27/2014,44
5/4/2014,46
5/11/2014,45
5/18/2014,45
5/25/2014,49
6/1/2014,48
6/8/2014,48
6/15/2014,47
6/22/2014,46
6/29/2014,51
7/6/2014,49
7/13/2014,47
7/20/2014,47
7/27/2014,48
8/3/2014,48
8/10/2014,60
8/17/2014,43
8/24/2014,42
8/31/2014,43
9/7/2014,37
9/14/2014,34
9/21/2014,33
9/28/2014,33
10/5/2014,35
10/12/2014,31
10/19/2014,28
10/26/2014,27
11/2/2014,27
11/9/2014,26
11/16/2014,24
11/23/2014,23
11/30/2014,24
12/7/2014,25
12/14/2014,24
12/21/2014,25
12/28/2014,33
1/4/2015,27
1/11/2015,29
1/18/2015,33
1/25/2015,31
2/1/2015,30
2/8/2015,37
2/15/2015,31
2/22/2015,30
3/1/2015,34
3/8/2015,42
3/15/2015,100
3/22/2015,39
3/29/2015,51
4/5/2015,49
4/12/2015,50
4/19/2015,49
4/26/2015,58
5/3/2015,63
5/10/2015,57
5/17/2015,54
5/24/2015,65
5/31/2015,62
6/7/2015,62
6/14/2015,62
6/21/2015,63
6/28/2015,61
7/5/2015,57
7/12/2015,58
7/19/2015,60
7/26/2015,74
8/2/2015,59
8/9/2015,61
8/16/2015,51
8/23/2015,47
8/30/2015,48
9/6/2015,50
9/13/2015,41
9/20/2015,41
9/27/2015,38
10/4/2015,37
10/11/2015,36
10/18/2015,33
10/25/2015,31
11/1/2015,31
11/8/2015,32
11/15/2015,31
11/22/2015,27
11/29/2015,29
12/6/2015,31
12/13/2015,30
12/20/2015,32
12/27/2015,38
1/3/2016,32
1/10/2016,30
1/17/2016,34
1/24/2016,32
1/31/2016,35
2/7/2016,38
2/14/2016,39
2/21/2016,37
2/28/2016,41
3/6/2016,47
3/13/2016,82
3/20/2016,48
3/27/2016,48
4/3/2016,47
4/10/2016,48
4/17/2016,53
4/24/2016,55
5/1/2016,64
5/8/2016,59
5/15/2016,55
5/22/2016,61
5/29/2016,70
6/5/2016,67
6/12/2016,69
6/19/2016,66
6/26/2016,63
7/3/2016,67
7/10/2016,59
7/17/2016,64
7/24/2016,66
7/31/2016,58
8/7/2016,59
8/14/2016,60
8/21/2016,51
8/28/2016,50
9/4/2016,58
9/11/2016,43
9/18/2016,42
9/25/2016,39
10/2/2016,39
10/9/2016,39
10/16/2016,37
10/23/2016,33
10/30/2016,34
11/6/2016,35
11/13/2016,34
11/20/2016,30
11/27/2016,31
12/4/2016,31
12/11/2016,29
12/18/2016,30
12/25/2016,34
1/1/2017,38
1/8/2017,36
1/15/2017,40
1/22/2017,37
1/29/2017,40
2/5/2017,41
2/12/2017,45
2/19/2017,46
2/26/2017,44
3/5/2017,46
3/12/2017,51
3/19/2017,99
3/26/2017,58
4/2/2017,59
4/9/2017,64
4/16/2017,55
4/23/2017,57
4/30/2017,60
5/7/2017,62
5/14/2017,63
5/21/2017,61
5/28/2017,72
6/4/2017,67
6/11/2017,76
6/18/2017,68
6/25/2017,71
7/2/2017,78
7/9/2017,68
7/16/2017,73
7/23/2017,70
7/30/2017,64
8/6/2017,66
8/13/2017,56
8/20/2017,58
8/27/2017,57
9/3/2017,60
9/10/2017,49
9/17/2017,47
9/24/2017,45
10/1/2017,44
10/8/2017,43
10/15/2017,39
10/22/2017,36
10/29/2017,36
11/5/2017,36
11/12/2017,35
11/19/2017,33
11/26/2017,33
12/3/2017,33
