date,stars
12/16/2012,43
12/23/2012,61
12/30/2012,51
1/6/2013,47
1/13/2013,44
1/20/2013,44
1/27/2013,44
2/3/2013,51
2/10/2013,49
2/17/2013,49
2/24/2013,49
3/3/2013,46
3/10/2013,45
3/17/2013,45
3/24/2013,45
3/31/2013,43
4/7/2013,44
4/14/2013,42
4/21/2013,44
4/28/2013,45
5/5/2013,42
5/12/2013,43
5/19/2013,44
5/26/2013,42
6/2/2013,43
6/9/2013,43
6/16/2013,48
6/23/2013,49
6/30/2013,48
7/7/2013,49
7/14/2013,49
7/21/2013,49
7/28/2013,51
8/4/2013,48
8/11/2013,49
8/18/2013,48
8/25/2013,46
9/1/2013,47
9/8/2013,45
9/15/2013,46
9/22/2013,47
9/29/2013,53
10/6/2013,60
10/13/2013,58
10/20/2013,58
10/27/2013,58
11/3/2013,51
11/10/2013,49
11/17/2013,48
11/24/2013,49
12/1/2013,48
12/8/2013,46
12/15/2013,45
12/22/2013,66
12/29/2013,52
1/5/2014,48
1/12/2014,46
1/19/2014,45
1/26/2014,45
2/2/2014,46
2/9/2014,45
2/16/2014,45
2/23/2014,49
3/2/2014,47
3/9/2014,45
3/16/2014,45
3/23/2014,45
3/30/2014,45
4/6/2014,46
4/13/2014,48
4/20/2014,49
4/27/2014,49
5/4/2014,47
5/11/2014,44
5/18/2014,45
5/25/2014,44
6/1/2014,44
6/8/2014,45
6/15/2014,47
6/22/2014,48
6/29/2014,49
7/6/2014,49
7/13/2014,51
7/20/2014,50
7/27/2014,50
8/3/2014,49
8/10/2014,50
8/17/2014,50
8/24/2014,50
8/31/2014,49
9/7/2014,49
9/14/2014,48
9/21/2014,47
9/28/2014,49
10/5/2014,48
10/12/2014,50
10/19/2014,51
10/26/2014,51
11/2/2014,48
11/9/2014,48
11/16/2014,49
11/23/2014,50
11/30/2014,50
12/7/2014,51
12/14/2014,50
12/21/2014,70
12/28/2014,60
1/4/2015,50
1/11/2015,51
1/18/2015,51
1/25/2015,51
2/1/2015,56
2/8/2015,55
2/15/2015,53
2/22/2015,53
3/1/2015,52
3/8/2015,51
3/15/2015,50
3/22/2015,50
3/29/2015,53
4/5/2015,53
4/12/2015,49
4/19/2015,54
4/26/2015,53
5/3/2015,54
5/10/2015,55
5/17/2015,54
5/24/2015,55
5/31/2015,56
6/7/2015,56
6/14/2015,55
6/21/2015,58
6/28/2015,58
7/5/2015,57
7/12/2015,59
7/19/2015,56
7/26/2015,63
8/2/2015,61
8/9/2015,60
8/16/2015,63
8/23/2015,58
8/30/2015,56
9/6/2015,55
9/13/2015,56
9/20/2015,55
9/27/2015,56
10/4/2015,57
10/11/2015,54
10/18/2015,54
10/25/2015,54
11/1/2015,55
11/8/2015,53
11/15/2015,57
11/22/2015,57
11/29/2015,56
12/6/2015,58
12/13/2015,56
12/20/2015,90
12/27/2015,65
1/3/2016,54
1/10/2016,50
1/17/2016,50
1/24/2016,51
1/31/2016,53
2/7/2016,88
2/14/2016,64
2/21/2016,54
2/28/2016,53
3/6/2016,53
3/13/2016,54
3/20/2016,55
3/27/2016,53
4/3/2016,54
4/10/2016,54
4/17/2016,54
4/24/2016,52
5/1/2016,52
5/8/2016,53
5/15/2016,54
5/22/2016,55
5/29/2016,58
6/5/2016,57
6/12/2016,57
6/19/2016,57
6/26/2016,59
7/3/2016,61
7/10/2016,59
7/17/2016,60
7/24/2016,60
7/31/2016,63
8/7/2016,58
8/14/2016,56
8/21/2016,56
8/28/2016,58
9/4/2016,58
9/11/2016,58
9/18/2016,57
9/25/2016,57
10/2/2016,59
10/9/2016,60
10/16/2016,59
10/23/2016,61
10/30/2016,59
11/6/2016,55
11/13/2016,58
11/20/2016,65
11/27/2016,56
12/4/2016,57
12/11/2016,57
12/18/2016,61
12/25/2016,100
1/1/2017,76
1/8/2017,58
1/15/2017,57
1/22/2017,57
1/29/2017,58
2/5/2017,56
2/12/2017,58
2/19/2017,58
2/26/2017,59
3/5/2017,57
3/12/2017,57
3/19/2017,57
3/26/2017,57
4/2/2017,59
4/9/2017,62
4/16/2017,62
4/23/2017,61
4/30/2017,64
5/7/2017,61
5/14/2017,60
5/21/2017,63
5/28/2017,69
6/4/2017,65
6/11/2017,69
6/18/2017,70
6/25/2017,69
7/2/2017,69
7/9/2017,66
7/16/2017,66
7/23/2017,66
7/30/2017,66
8/6/2017,69
8/13/2017,70
8/20/2017,66
8/27/2017,71
9/3/2017,65
9/10/2017,60
9/17/2017,64
9/24/2017,60
10/1/2017,65
10/8/2017,63
10/15/2017,65
10/22/2017,65
10/29/2017,63
11/5/2017,59
11/12/2017,59
11/19/2017,64
11/26/2017,57
12/3/2017,57
