date,stars
12/16/2012,39
12/23/2012,38
12/30/2012,38
1/6/2013,40
1/13/2013,40
1/20/2013,40
1/27/2013,44
2/3/2013,42
2/10/2013,41
2/17/2013,45
2/24/2013,45
3/3/2013,45
3/10/2013,46
3/17/2013,45
3/24/2013,44
3/31/2013,44
4/7/2013,47
4/14/2013,48
4/21/2013,51
4/28/2013,48
5/5/2013,45
5/12/2013,47
5/19/2013,46
5/26/2013,46
6/2/2013,45
6/9/2013,44
6/16/2013,46
6/23/2013,44
6/30/2013,43
7/7/2013,44
7/14/2013,46
7/21/2013,45
7/28/2013,45
8/4/2013,45
8/11/2013,47
8/18/2013,47
8/25/2013,47
9/1/2013,47
9/8/2013,49
9/15/2013,44
9/22/2013,47
9/29/2013,48
10/6/2013,100
10/13/2013,63
10/20/2013,51
10/27/2013,48
11/3/2013,47
11/10/2013,50
11/17/2013,47
11/24/2013,45
12/1/2013,43
12/8/2013,41
12/15/2013,39
12/22/2013,37
12/29/2013,36
1/5/2014,41
1/12/2014,42
1/19/2014,40
1/26/2014,53
2/2/2014,44
2/9/2014,43
2/16/2014,44
2/23/2014,44
3/2/2014,44
3/9/2014,46
3/16/2014,47
3/23/2014,47
3/30/2014,47
4/6/2014,50
4/13/2014,46
4/20/2014,48
4/27/2014,47
5/4/2014,50
5/11/2014,47
5/18/2014,47
5/25/2014,49
6/1/2014,48
6/8/2014,49
6/15/2014,48
6/22/2014,45
6/29/2014,47
7/6/2014,45
7/13/2014,47
7/20/2014,47
7/27/2014,47
8/3/2014,46
8/10/2014,48
8/17/2014,61
8/24/2014,51
8/31/2014,48
9/7/2014,49
9/14/2014,47
9/21/2014,47
9/28/2014,47
10/5/2014,48
10/12/2014,49
10/19/2014,48
10/26/2014,47
11/2/2014,46
11/9/2014,46
11/16/2014,46
11/23/2014,44
11/30/2014,43
12/7/2014,42
12/14/2014,40
12/21/2014,37
12/28/2014,36
1/4/2015,41
1/11/2015,41
1/18/2015,42
1/25/2015,45
2/1/2015,43
2/8/2015,42
2/15/2015,44
2/22/2015,43
3/1/2015,45
3/8/2015,48
3/15/2015,47
3/22/2015,47
3/29/2015,46
4/5/2015,49
4/12/2015,51
4/19/2015,52
4/26/2015,49
5/3/2015,48
5/10/2015,52
5/17/2015,58
5/24/2015,52
5/31/2015,49
6/7/2015,48
6/14/2015,48
6/21/2015,51
6/28/2015,50
7/5/2015,50
7/12/2015,52
7/19/2015,54
7/26/2015,51
8/2/2015,47
8/9/2015,50
8/16/2015,47
8/23/2015,50
8/30/2015,53
9/6/2015,80
9/13/2015,60
9/20/2015,63
9/27/2015,51
10/4/2015,51
10/11/2015,51
10/18/2015,50
10/25/2015,47
11/1/2015,49
11/8/2015,49
11/15/2015,49
11/22/2015,49
11/29/2015,49
12/6/2015,47
12/13/2015,44
12/20/2015,58
12/27/2015,42
1/3/2016,40
1/10/2016,40
1/17/2016,42
1/24/2016,44
1/31/2016,72
2/7/2016,55
2/14/2016,46
2/21/2016,46
2/28/2016,44
3/6/2016,51
3/13/2016,44
3/20/2016,43
3/27/2016,44
4/3/2016,45
4/10/2016,46
4/17/2016,47
4/24/2016,44
5/1/2016,45
5/8/2016,47
5/15/2016,47
5/22/2016,45
5/29/2016,45
6/5/2016,45
6/12/2016,42
6/19/2016,46
6/26/2016,42
7/3/2016,43
7/10/2016,40
7/17/2016,64
7/24/2016,48
7/31/2016,53
8/7/2016,53
8/14/2016,48
8/21/2016,45
8/28/2016,46
9/4/2016,47
9/11/2016,49
9/18/2016,48
9/25/2016,47
10/2/2016,45
10/9/2016,44
10/16/2016,50
10/23/2016,54
10/30/2016,47
11/6/2016,44
11/13/2016,51
11/20/2016,54
11/27/2016,50
12/4/2016,46
12/11/2016,44
12/18/2016,40
12/25/2016,38
1/1/2017,36
1/8/2017,47
1/15/2017,44
1/22/2017,45
1/29/2017,44
2/5/2017,46
2/12/2017,45
2/19/2017,45
2/26/2017,46
3/5/2017,46
3/12/2017,49
3/19/2017,54
3/26/2017,49
4/2/2017,50
4/9/2017,46
4/16/2017,49
4/23/2017,53
4/30/2017,48
5/7/2017,47
5/14/2017,46
5/21/2017,55
5/28/2017,55
6/4/2017,58
6/11/2017,59
6/18/2017,61
6/25/2017,49
7/2/2017,46
7/9/2017,46
7/16/2017,47
7/23/2017,51
7/30/2017,48
8/6/2017,51
8/13/2017,47
8/20/2017,49
8/27/2017,48
9/3/2017,51
9/10/2017,49
9/17/2017,51
9/24/2017,52
10/1/2017,50
10/8/2017,50
10/15/2017,52
10/22/2017,49
10/29/2017,46
11/5/2017,50
11/12/2017,49
11/19/2017,48
11/26/2017,49
12/3/2017,59
