id,date,stars,text
vg55SAkrEmuHpWfIMtJjBQ,2013-08-24,4,"Fresh, from farm to table. That was impressive. 

The menu changes daily, which makes every experience a little different, a little more unique. Unfortunately this also means the menu selection is rather limited to a few dishes, making it particularly difficult if you are a vegetarian or a picky eater. 

The waiters/waitresses are kind, helpful, and friendly, and are great when it comes to asking for suggestions or altering a dish to your liking."
vg55SAkrEmuHpWfIMtJjBQ,2014-04-01,5,"Fine Dining in the Burgh!! 

While we had made reservations for a nice steakhouse in Robinson, we were appalled by people in gym clothes and Pjs and had to move our fine dining aspirations to Legume. Best decision ever!! 

Parking is plenty - street, valet (validated) or metered lot. You can enjoy a great date night at Legume and hang out at Butterjoint (restaurant bar next door) after dinner if you wish.

Now it is difficult to review the dishes in a place that changes its menu very regularly as you may not see the same dishes that I ate and enjoyed, so I shall focus on the reasons you should dine at Legume. 

1) This place has been on Pittsburgh Magazine Best Restaurants for atleast 3 years
2) Service is amazing - polite staff, extremely helpful, recommendations are not based on priciest item on the list but that cater to what you want to eat, servers have a good idea of the food i.e. tried and tested, prompt yet not rushed.
3) Farm-to-table restaurant means you get dishes with fresh produce and which are different every time you go there (unless you go there everyday)
4) The food is not that expensive for fine dining
5) You can get the bartender at Butterjoint to whip up a custom drink for you
6) You have some vegetarian options that are just as good as the meat options
7) The Pâté and Crostini is a must try appetizer
8) Chocolate Truffle Cake will melt in your mouth
9) Portions are perfectly sized that will leave you full but not stuffed (assuming you eat 1 appetizer + 1 entree + 1/2 dessert)
10) Chef is a 2013 James Beard semi-finalist for Best Chef - Mid Atlantic (if that rocks your boat)"
vg55SAkrEmuHpWfIMtJjBQ,2016-06-20,4,"As a hardcore Chinese, the food is just okay for me. I ordered the daily limited available dish of Italian sausages, which are tasty, but I expected something more than that. Price is good, tables are a little crowded. Some waitress should have been nicer."
vg55SAkrEmuHpWfIMtJjBQ,2015-11-09,5,"Legume is great. The food and desserts that I've had were all to die for. Such a gem in the middle of dumpy Oakland. Their cocktails are all AMAZING and the bartenders are very jovial if you sit at the bar in butterjoint.

My only complaint is that butterjoint can get unbearably crowded sometimes. I wouldn't come here with more than a group of 4."
vg55SAkrEmuHpWfIMtJjBQ,2012-08-16,3,First time in the new digs. Ambiance is noisy and visually stark - next time will sit in  the bar. And wait service can't seem to cover the larger square footage with speed. Preferred the intimacy found in the old digs. But the food remains trustworthy - true to the farm-to-table concept and provided at an affordable price.
vg55SAkrEmuHpWfIMtJjBQ,2015-06-12,5,"As close to casual culinary perfection as you can get.  A frequent visitor to Pittsburgh, I've been to some of its finest eateries. Last night a very negative experience at a ""hot"" restaurant receiving lots of buzz was followed by an angry search for an alternative. Two business associates and I arrived at Legume at 8:50 pm, 10 minutes before last seating, and we were welcomed by a delightful hostess. Molly, our waitress, was friendly, professional, and clearly had expertise related to the always-changing menu.

From the Beef Tartare forward the appetizers were extraordinary.  The cold Asparagus.soup was such a light mix of complimentary tastes I ordered a second serving.  The Goat Loin entree was incredible both in taste and preparation.  I'm not typically a dessert eater but . . . Wow!  

Suffice it to say, I'll jump on any opportunity to return. Did I say, ""Wow?""  I meant it!"
vg55SAkrEmuHpWfIMtJjBQ,2015-03-21,3,"Loved everything until main entree arrived. First Lamp chop was completely raw, not close at all to the medium rare. The apologized multiple times and returned with a new chop and it was the worst cut off meat I ever had. Is say 90% of it was either bone or gristle."
vg55SAkrEmuHpWfIMtJjBQ,2015-02-11,2,"Remember how Green Day was the punk band for turds? Legume is the Green Day of fine dining. The restaurant looks like a set on Portlandia. The décor is very dark, curtains, looks kinda like a mix between an old Slovakia grandmother's home and a funeral home. It is clean and seating is private, very spacious. The wait staff dress hipster and are very pretentious. Nice wine menu. The menu is farm to table, very few selections. Kinda overpriced for what you get. 

First course: Only hot salads (grilled greens), which was actually not that bad, I think more is less sometimes...too much stuff in the salad, including pickled cauliflower. eh..not a fan. Overall salad not bad but 11$ for a tiny salad is high even in a nice place. 
Entre: The menu was very limited, If you like trying really different dished this place does have that. They had monk fish...just don't go in expecting any familiar items. I had the pan chicken, not gonna lie, it was terrible. It was SO bland, it reminded me of Banquet TV dinner chick. I think they are going for ""pure"" food, but a little season or herb wouldn't kill it. It was just chicken, maybe they used a pinch of pepper, but so boring and bland. It came with potatoes and greens, very small portions, they were not bad. My boyfriend had kielbasa, which was no better than Oscar Myer, just so bland. The pierogies were ...you guess it, bland. Just a plan pierogie with nothing on it.
The dishes were presented nice, great service. This place might be nice for some people, but the food is very bland, a limited menu, and its just corny...if you follow my reviews you see I like good food ""casual elegance"" I call it, great upscale food with a laid back trendy environment. This place is far from it..."
vg55SAkrEmuHpWfIMtJjBQ,2013-09-18,5,Excellent service and food. Their tasting menu of fresh local ingredients is spectacular. Even if you just want a drink this is the place to be with pretty decent mixologists.  My favorite was the poached pear for dessert and the pepper jam appetizer.
vg55SAkrEmuHpWfIMtJjBQ,2014-09-30,4,Nice environment and thoughtful waitress. A very italian place. Food is fresh. Love it. A little bit expensive.
